Club,Country,Date,Elo,Level
Man United,ENG,2001-08-17,1870.96801758,1
Liverpool,ENG,2001-08-17,1870.2623290999998,1
Leeds,ENG,2001-08-17,1837.77819824,1
Arsenal,ENG,2001-08-17,1814.88427734,1
Chelsea,ENG,2001-08-17,1788.7689209000002,1
Ipswich,ENG,2001-08-17,1738.09509277,1
Sunderland,ENG,2001-08-17,1726.86706543,1
Aston Villa,ENG,2001-08-17,1719.56555176,1
Newcastle,ENG,2001-08-17,1698.72424316,1
Middlesbrough,ENG,2001-08-17,1693.63659668,1
Tottenham,ENG,2001-08-17,1675.89331055,1
Southampton,ENG,2001-08-17,1671.66125488,1
Charlton,ENG,2001-08-17,1667.40905762,1
West Ham,ENG,2001-08-17,1652.52185059,1
Everton,ENG,2001-08-17,1650.68884277,1
Leicester,ENG,2001-08-17,1636.20068359,1
Derby,ENG,2001-08-17,1630.41625977,1
Blackburn,ENG,2001-08-17,1629.66943359,1
Fulham,ENG,2001-08-17,1627.20837402,1
Bolton,ENG,2001-08-17,1599.27941895,1
Liverpool,ENG,2001-08-19,1872.47131348,1
Man United,ENG,2001-08-19,1870.96801758,1
Leeds,ENG,2001-08-19,1841.8737792999998,1
Arsenal,ENG,2001-08-19,1828.32080078,1
Chelsea,ENG,2001-08-19,1788.7689209000002,1
Sunderland,ENG,2001-08-19,1733.40930176,1
Ipswich,ENG,2001-08-19,1731.55273438,1
Aston Villa,ENG,2001-08-19,1720.40393066,1
Newcastle,ENG,2001-08-19,1698.72424316,1
Middlesbrough,ENG,2001-08-19,1680.20019531,1
Tottenham,ENG,2001-08-19,1675.05480957,1
Southampton,ENG,2001-08-19,1667.56567383,1
Everton,ENG,2001-08-19,1660.67980957,1
Charlton,ENG,2001-08-19,1657.41809082,1
West Ham,ENG,2001-08-19,1650.31286621,1
Derby,ENG,2001-08-19,1636.65258789,1
Fulham,ENG,2001-08-19,1627.20837402,1
Blackburn,ENG,2001-08-19,1623.43322754,1
Bolton,ENG,2001-08-19,1623.06811523,1
Leicester,ENG,2001-08-19,1612.4119873,1
Man United,ENG,2001-08-21,1872.91906738,1
Liverpool,ENG,2001-08-21,1872.47131348,1
Leeds,ENG,2001-08-21,1841.8737792999998,1
Arsenal,ENG,2001-08-21,1828.32080078,1
Chelsea,ENG,2001-08-21,1784.43579102,1
Sunderland,ENG,2001-08-21,1733.40930176,1
Ipswich,ENG,2001-08-21,1731.55273438,1
Aston Villa,ENG,2001-08-21,1720.40393066,1
Newcastle,ENG,2001-08-21,1703.05737305,1
Middlesbrough,ENG,2001-08-21,1680.20019531,1
Tottenham,ENG,2001-08-21,1676.6574707,1
Southampton,ENG,2001-08-21,1667.56567383,1
Everton,ENG,2001-08-21,1659.07714844,1
Charlton,ENG,2001-08-21,1657.41809082,1
West Ham,ENG,2001-08-21,1650.31286621,1
Derby,ENG,2001-08-21,1636.65258789,1
Fulham,ENG,2001-08-21,1625.25744629,1
Blackburn,ENG,2001-08-21,1623.43322754,1
Bolton,ENG,2001-08-21,1623.06811523,1
Leicester,ENG,2001-08-21,1612.4119873,1
Liverpool,ENG,2001-08-25,1872.49316406,1
Man United,ENG,2001-08-25,1868.19067383,1
Leeds,ENG,2001-08-25,1851.23876953,1
Arsenal,ENG,2001-08-25,1818.96801758,1
Chelsea,ENG,2001-08-25,1784.44177246,1
Ipswich,ENG,2001-08-25,1737.46057129,1
Sunderland,ENG,2001-08-25,1720.70129395,1
Aston Villa,ENG,2001-08-25,1720.41003418,1
Newcastle,ENG,2001-08-25,1703.06347656,1
Tottenham,ENG,2001-08-25,1676.66357422,1
Middlesbrough,ENG,2001-08-25,1672.62084961,1
Southampton,ENG,2001-08-25,1667.57177734,1
Everton,ENG,2001-08-25,1659.08325195,1
Charlton,ENG,2001-08-25,1657.42419434,1
West Ham,ENG,2001-08-25,1650.31896973,1
Fulham,ENG,2001-08-25,1637.97766113,1
Derby,ENG,2001-08-25,1630.75695801,1
Bolton,ENG,2001-08-25,1630.65966797,1
Blackburn,ENG,2001-08-25,1628.17370605,1
Leicester,ENG,2001-08-25,1612.41809082,1
Man United,ENG,2001-09-07,1866.03759766,1
Liverpool,ENG,2001-09-07,1860.29467773,1
Leeds,ENG,2001-09-07,1847.70605469,1
Arsenal,ENG,2001-09-07,1823.67089844,1
